id,school_name,region,source,ratio_grade,ratio_exam,ratio_special,border_s,border_naishin_135,border_grade_9_subject_avg,border_exam_5_subject_avg,chance60_s,chance60_naishin_135,chance60_grade_9_subject_avg,chance60_exam_5_subject_avg,chance80_s,chance80_naishin_135,chance80_grade_9_subject_avg,chance80_exam_5_subject_avg,target_s,exam_focus_summary,focus_english_multiplier,focus_best_of,focus_best_multiplier
shichirigahama,七里ガ浜,湘南,kanagaku,4,6,0,702,104.3,3.86,65.5,731,107,3.96,69.0,763,110,4.07,72.8,763,,,,
csv-三浦初声高校-普通,三浦初声,横須賀三浦,kanagaku,6,4,0,410,64.1,2.38,31.2,454,71,2.63,34.6,486,76,2.81,37.1,486,,,,
csv-上溝南高校-普通,上溝南,相模原,kanagaku,5,5,0,623,98.1,3.63,51.9,654,101,3.74,56.0,686,104,3.85,60.2,686,,,,
csv-上溝高校-普通,上溝,相模原,kanagaku,5,5,0,578,90.8,3.36,48.4,612,95,3.52,52.0,644,99,3.67,55.5,644,,,,
csv-上矢部高校-普通,上矢部,横浜,kanagaku,5,5,0,464,74.3,2.75,37.8,494,79,2.93,40.3,526,84,3.11,43.0,526,,,,
csv-上鶴間高校-普通,上鶴間,相模原,kanagaku,5,5,0,449,72.3,2.68,36.2,479,77,2.85,38.8,511,82,3.04,41.5,511,,,,
csv-二俣川高校-普通,二俣川,横浜,kanagaku,5,5,0,478,76.0,2.81,39.3,523,83,3.07,43.1,555,88,3.26,45.8,555,,,,
csv-二宮高校-普通,二宮,湘南,kanagaku,6,4,0,396,62.5,2.31,29.6,444,70,2.59,33.2,476,75,2.78,35.7,476,,,,
csv-伊勢原高校-普通,伊勢原,県西,kanagaku,5,5,0,550,88.6,3.28,44.4,569,91,3.37,46.4,601,95,3.52,49.8,601,,,,
csv-伊志田高校-普通,伊志田,県西,kanagaku,5,5,0,640,100.6,3.73,53.5,676,104,3.85,58.2,708,107,3.96,62.3,708,,,,
csv-住吉高校-普通,住吉,川崎,kanagaku,4,6,0,635,94.9,3.51,59.0,647,96,3.56,60.4,679,99,3.67,64.3,679,,,,
csv-保土ケ谷高校-普通,保土ケ谷,横浜,kanagaku,7,3,0,434,64.4,2.39,33.3,476,71,2.63,36.0,508,76,2.81,38.0,508,,,,
csv-元石川高校-普通,元石川,横浜,kanagaku,5,5,0,666,96.5,3.57,61.7,694,100,3.70,64.7,726,104,3.85,68.2,726,,,,
csv-光陵高校-普通,光陵,横浜,kanagaku,4,6,1,827,116.7,4.32,80.2,848,120,4.44,82.1,880,125,4.63,84.9,880,,,,
csv-厚木北高校-普通,厚木北,県央,kanagaku,6,4,0,456,71.4,2.64,34.7,511,80,2.96,38.9,543,85,3.15,41.3,543,,,,
